worker_id,assignments_done,items_done,controls_done,controls_correct,control_accuracy,median_duration_sec,mean_duration_sec,yes_count,no_count,not_working_count,yes_share,no_share,not_working_share,quality_segment
031e332c-0b46-47ca-98a5-225028857837,5,50,10,6,0.6,276.0,273.2,31,13,6,0.62,0.26,0.12,bad
03391a1a-0a8d-415e-bb3d-7700e563983f,15,150,15,11,0.7333333333333333,748.0,702.6666666666666,92,54,4,0.6133333333333333,0.36,0.02666666666666667,risky
034ad997-20cf-4c3d-975d-993b8ad1b9b4,5,50,10,6,0.6,317.0,312.4,28,22,0,0.56,0.44,0.0,bad
035da7e6-9334-43db-bdd3-7ff3de7c7b10,12,120,24,18,0.75,329.0,367.4166666666667,64,54,2,0.5333333333333333,0.45,0.016666666666666666,risky
03e2dad9-f0a6-43cf-b856-6d7723af8d3e,16,160,32,28,0.875,402.5,440.0625,65,84,11,0.40625,0.525,0.06875,good
042678ae-5f3c-4f98-b38c-f0a6437ce8b9,8,80,8,5,0.625,590.0,623.0,43,35,2,0.5375,0.4375,0.025,bad
0438d785-bcbb-4003-9c71-47abf10436f9,4,40,4,2,0.5,556.5,541.75,20,19,1,0.5,0.475,0.025,unknown_low_controls
043ddbce-7d48-472e-94aa-6e122ba997de,8,40,8,4,0.5,144.5,217.875,19,16,5,0.475,0.4,0.125,bad
043de6a1-fc68-490d-9471-be222129c4ed,3,30,6,4,0.6666666666666666,505.0,493.3333333333333,12,17,1,0.4,0.5666666666666667,0.03333333333333333,risky
046b0333-4cb0-40f8-aa72-e0fcaa775682,10,100,20,16,0.8,574.5,598.2,44,49,7,0.44,0.49,0.07,risky
04aef9bb-4a5a-450e-9d52-e79343d6b2ba,6,60,12,7,0.5833333333333334,705.0,832.5,33,26,1,0.55,0.43333333333333335,0.016666666666666666,bad
04c57bc3-0cd3-48be-a427-dbf0347ed27b,11,107,11,8,0.7272727272727273,353.0,394.02803738317755,59,42,6,0.5514018691588785,0.3925233644859813,0.056074766355140186,risky
04de293b-6608-493b-8507-d95845950324,2,20,4,2,0.5,255.0,255.0,12,7,1,0.6,0.35,0.05,unknown_low_controls
052682f7-e763-4050-b043-2c07c94868f4,15,150,17,13,0.7647058823529411,733.0,828.7333333333333,58,82,10,0.38666666666666666,0.5466666666666666,0.06666666666666667,risky
054fd592-613d-4186-8882-abdebac4d909,12,60,12,8,0.6666666666666666,269.0,328.25,29,28,3,0.48333333333333334,0.4666666666666667,0.05,risky
0570fc6e-44e2-4cef-b320-5e9b91f98dec,5,50,7,4,0.5714285714285714,548.0,485.8,35,11,4,0.7,0.22,0.08,bad
057162f1-f9d9-43bb-89b4-80eba0a89a4c,2,20,2,1,0.5,423.5,423.5,8,11,1,0.4,0.55,0.05,unknown_low_controls
05d53029-9e80-4748-b3c2-627927a380d8,8,80,8,5,0.625,286.5,308.125,43,33,4,0.5375,0.4125,0.05,bad
05da45c4-25ef-4033-b738-7b6ba97d6f40,13,130,14,10,0.7142857142857143,298.0,461.46153846153845,59,67,4,0.45384615384615384,0.5153846153846153,0.03076923076923077,risky
0600e4dd-cebf-478a-8c12-620295e69dd8,1,10,2,2,1.0,228.0,228.0,8,2,0,0.8,0.2,0.0,unknown_low_controls
061cb874-f3d8-47da-b383-ac76e6bb07fc,11,110,11,7,0.6363636363636364,167.0,164.0,46,56,8,0.41818181818181815,0.509090909090909,0.07272727272727272,bad
064cc925-e907-4dd4-a177-4adeb5d03fbb,10,50,10,8,0.8,278.0,323.3,21,28,1,0.42,0.56,0.02,risky
065befbc-0bdd-4b30-bc30-67a68b053764,2,20,3,1,0.3333333333333333,396.5,396.5,11,8,1,0.55,0.4,0.05,unknown_low_controls
